country,who_region,wb_income_group
Afghanistan,Eastern Mediterranean Region,Low-income
Albania,European Region,Upper-middle income
Algeria,African Region,Upper-middle income
Angola,African Region,Upper-middle income
Australia,Western Pacific Region,High-income
Austria,European Region,High-income
Bahrain,Eastern Mediterranean Region,High-income
Bangladesh,South-East Asia Region,Lower-middle income
Barbados,Region of the Americas,High-income
Belarus,European Region,Upper-middle income
Belgium,European Region,High-income
Belize,Region of the Americas,Upper-middle income
Benin,African Region,Low-income
Bhutan,South-East Asia Region,Lower-middle income
Bolivia (Plurinational State of),Region of the Americas,Lower-middle income
Brazil,Region of the Americas,Upper-middle income
Bulgaria,European Region,Upper-middle income
Burkina Faso,African Region,Low-income
Burundi,African Region,Low-income
Cameroon,African Region,Lower-middle income
Canada,Region of the Americas,High-income
Central African Republic,African Region,Low-income
Chile,Region of the Americas,High-income
China,Western Pacific Region,Upper-middle income
Colombia,Region of the Americas,Upper-middle income
Congo,African Region,Lower-middle income
Costa Rica,Region of the Americas,Upper-middle income
Croatia,European Region,High-income
Côte d'Ivoire,African Region,Lower-middle income
Democratic Republic of the Congo,African Region,Low-income
Djibouti,Eastern Mediterranean Region,Lower-middle income
Dominican Republic,Region of the Americas,Upper-middle income
Ecuador,Region of the Americas,Upper-middle income
Egypt,Eastern Mediterranean Region,Lower-middle income
El Salvador,Region of the Americas,Lower-middle income
Eritrea,African Region,Low-income
Estonia,European Region,High-income
Ethiopia,African Region,Low-income
France,European Region,High-income
Gabon,African Region,Upper-middle income
Gambia,African Region,Low-income
Germany,European Region,High-income
Ghana,African Region,Lower-middle income
Greece,European Region,High-income
Guatemala,Region of the Americas,Lower-middle income
Guinea,African Region,Low-income
Guyana,Region of the Americas,Lower-middle income
Haiti,Region of the Americas,Low-income
Honduras,Region of the Americas,Lower-middle income
Hungary,European Region,High-income
India,South-East Asia Region,Lower-middle income
Indonesia,South-East Asia Region,Lower-middle income
Iran (Islamic Republic of),Eastern Mediterranean Region,Upper-middle income
Iraq,Eastern Mediterranean Region,Upper-middle income
Italy,European Region,High-income
Japan,Western Pacific Region,High-income
Jordan,Eastern Mediterranean Region,Upper-middle income
Kazakhstan,European Region,Upper-middle income
Kenya,African Region,Lower-middle income
Kuwait,Eastern Mediterranean Region,High-income
Lao People's Democratic Republic,Western Pacific Region,Lower-middle income
Lebanon,Eastern Mediterranean Region,Upper-middle income
Lithuania,European Region,High-income
Madagascar,African Region,Low-income
Malawi,African Region,Low-income
Malaysia,Western Pacific Region,Upper-middle income
Maldives,South-East Asia Region,Upper-middle income
Mali,African Region,Low-income
Mauritania,African Region,Lower-middle income
Mexico,Region of the Americas,Upper-middle income
Monaco,European Region,High-income
Mongolia,Western Pacific Region,Upper-middle income
Morocco,Eastern Mediterranean Region,Lower-middle income
Mozambique,African Region,Low-income
Myanmar,South-East Asia Region,Lower-middle income
Namibia,African Region,Upper-middle income
Nepal,South-East Asia Region,Low-income
Netherlands,European Region,High-income
New Zealand,Western Pacific Region,High-income
Nicaragua,Region of the Americas,Lower-middle income
Niger,African Region,Low-income
Nigeria,African Region,Lower-middle income
Norway,European Region,High-income
Oman,Eastern Mediterranean Region,High-income
Pakistan,Eastern Mediterranean Region,Lower-middle income
Panama,Region of the Americas,Upper-middle income
Papua New Guinea,Western Pacific Region,Lower-middle income
Paraguay,Region of the Americas,Upper-middle income
Peru,Region of the Americas,Upper-middle income
Philippines,Western Pacific Region,Lower-middle income
Poland,European Region,High-income
Portugal,European Region,High-income
Puerto Rico,Region of the Americas,High-income
Republic of Korea,Western Pacific Region,High-income
Republic of Moldova,European Region,Lower-middle income
Romania,European Region,Upper-middle income
Russian Federation,European Region,High-income
Rwanda,African Region,Low-income
Sao Tome and Principe,African Region,Lower-middle income
Saudi Arabia,Eastern Mediterranean Region,High-income
Senegal,African Region,Lower-middle income
Serbia,European Region,Upper-middle income
Seychelles,African Region,High-income
Sierra Leone,African Region,Low-income
Singapore,Western Pacific Region,High-income
Sint Maarten,Region of the Americas,High-income
Slovenia,European Region,High-income
Solomon Islands,Western Pacific Region,Lower-middle income
Somalia,Eastern Mediterranean Region,Low-income
South Africa,African Region,Upper-middle income
Spain,European Region,High-income
Sri Lanka,South-East Asia Region,Lower-middle income
Sudan,Eastern Mediterranean Region,Lower-middle income
Suriname,Region of the Americas,Upper-middle income
Sweden,European Region,High-income
Switzerland,European Region,High-income
Syrian Arab Republic,Eastern Mediterranean Region,Lower-middle income
Tajikistan,European Region,Lower-middle income
Thailand,South-East Asia Region,Upper-middle income
The former Yugoslav Republic of Macedonia,European Region,Upper-middle income
Timor-Leste,South-East Asia Region,Lower-middle income
Togo,African Region,Low-income
Tunisia,Eastern Mediterranean Region,Upper-middle income
Turkey,European Region,Upper-middle income
Turkmenistan,European Region,Upper-middle income
United Kingdom of Great Britain and Northern Ireland,European Region,High-income
United Republic of Tanzania,African Region,Low-income
United States of America,Region of the Americas,High-income
Uruguay,Region of the Americas,High-income
Uzbekistan,European Region,Lower-middle income
Yemen,Eastern Mediterranean Region,Lower-middle income
Zambia,African Region,Lower-middle income
Zimbabwe,African Region,Low-income
