iso3,country,wb_income_group,who_region
AUS,Australia,High-income,Western Pacific Region
AUT,Austria,High-income,European Region
BEL,Belgium,High-income,European Region
BGD,Bangladesh,Lower-middle income,South-East Asia Region
BLZ,Belize,Upper-middle income,Region of the Americas
BRA,Brazil,Upper-middle income,Region of the Americas
CAN,Canada,High-income,Region of the Americas
CHE,Switzerland,High-income,European Region
CHL,Chile,High-income,Region of the Americas
CHN,China,Upper-middle income,Western Pacific Region
CRI,Costa Rica,Upper-middle income,Region of the Americas
DEU,Germany,High-income,European Region
DOM,Dominican Republic,Upper-middle income,Region of the Americas
EST,Estonia,High-income,European Region
FRA,France,High-income,European Region
GBR,United Kingdom of Great Britain and Northern Ireland,High-income,European Region
GRC,Greece,High-income,European Region
GUY,Guyana,Lower-middle income,Region of the Americas
HUN,Hungary,High-income,European Region
IND,India,Lower-middle income,South-East Asia Region
IRN,Iran (Islamic Republic of),Upper-middle income,Eastern Mediterranean Region
ITA,Italy,High-income,European Region
JOR,Jordan,Upper-middle income,Eastern Mediterranean Region
JPN,Japan,High-income,Western Pacific Region
KOR,Republic of Korea,High-income,Western Pacific Region
LBN,Lebanon,Upper-middle income,Eastern Mediterranean Region
LTU,Lithuania,High-income,European Region
MAR,Morocco,Lower-middle income,Eastern Mediterranean Region
MDV,Maldives,Upper-middle income,South-East Asia Region
MMR,Myanmar,Lower-middle income,South-East Asia Region
MYS,Malaysia,Upper-middle income,Western Pacific Region
NLD,Netherlands,High-income,European Region
NOR,Norway,High-income,European Region
OMN,Oman,High-income,Eastern Mediterranean Region
PAK,Pakistan,Lower-middle income,Eastern Mediterranean Region
POL,Poland,High-income,European Region
SGP,Singapore,High-income,Western Pacific Region
SVN,Slovenia,High-income,European Region
SWE,Sweden,High-income,European Region
TGO,Togo,Low-income,African Region
THA,Thailand,Upper-middle income,South-East Asia Region
TUN,Tunisia,Upper-middle income,Eastern Mediterranean Region
TUR,Turkey,Upper-middle income,European Region
USA,United States of America,High-income,Region of the Americas
ZAF,South Africa,Upper-middle income,African Region
