dhs_cc,ctry_code,surv_id,file_type,phase
AF,AF,471,BR,71
AF,AF,471,CR,71
AF,AF,348,HH,66
AF,AF,471,HR,71
AF,AF,348,IQ,66
AF,AF,471,IR,71
AF,AF,471,KR,71
AF,AF,471,MR,71
AF,AF,471,PR,71
AF,AF,348,VA,66
AL,AL,327,BR,51
AL,AL,525,BR,71
AL,AL,327,CR,51
AL,AL,525,CR,71
AL,AL,327,HR,51
AL,AL,525,HR,71
AL,AL,327,IR,51
AL,AL,525,IR,71
AL,AL,327,KR,51
AL,AL,525,KR,71
AL,AL,327,MR,51
AL,AL,525,MR,71
AL,AL,327,PR,51
AL,AL,525,PR,71
AL,AL,327,GE,51
AL,AL,525,GE,71
AO,AO,395,BR,62
AO,AO,477,BR,71
AO,AO,569,BR,81
AO,AO,477,CR,71
AO,AO,569,CR,81
AO,AO,282,HR,51
AO,AO,395,HR,62
AO,AO,477,HR,71
AO,AO,569,HR,81
AO,AO,282,IR,51
AO,AO,395,IR,62
AO,AO,477,IR,71
AO,AO,569,IR,81
AO,AO,282,KR,51
AO,AO,395,KR,62
AO,AO,477,KR,71
AO,AO,569,KR,81
AO,AO,477,MR,71
AO,AO,569,MR,81
AO,AO,282,PR,51
AO,AO,395,PR,62
AO,AO,477,PR,71
AO,AO,569,PR,81
AO,AO,282,GE,52
AO,AO,395,GE,61
AO,AO,477,GE,71
AO,AO,569,GE,81
AM,AM,203,BR,42
AM,AM,262,BR,54
AM,AM,354,BR,61
AM,AM,492,BR,72
AM,AM,203,CR,42
AM,AM,262,CR,52
AM,AM,354,CR,61
AM,AM,492,CR,72
AM,AM,203,HR,42
AM,AM,262,HR,54
AM,AM,354,HR,61
AM,AM,492,HR,72
AM,AM,203,HW,41
AM,AM,262,HW,52
AM,AM,203,IR,42
AM,AM,262,IR,54
AM,AM,354,IR,61
AM,AM,492,IR,72
AM,AM,203,KR,42
AM,AM,262,KR,54
AM,AM,354,KR,61
AM,AM,492,KR,72
AM,AM,203,MR,41
AM,AM,262,MR,52
AM,AM,354,MR,61
AM,AM,492,MR,72
AM,AM,203,PR,42
AM,AM,262,PR,54
AM,AM,354,PR,61
AM,AM,492,PR,72
AM,AM,203,WI,42
AM,AM,354,GE,61
AM,AM,492,GE,71
AZ,AZ,279,BR,52
AZ,AZ,279,CR,52
AZ,AZ,279,HR,52
AZ,AZ,279,IR,52
AZ,AZ,279,KR,52
AZ,AZ,279,MR,52
AZ,AZ,279,PR,52
BD,BD,59,BR,31
BD,BD,89,BR,3A
BD,BD,135,BR,41
BD,BD,236,BR,4J
BD,BD,287,BR,51
BD,BD,349,BR,61
BD,BD,461,BR,72
BD,BD,536,BR,7R
BD,BD,584,BR,81
BD,BD,59,CR,31
BD,BD,89,CR,3A
BD,BD,135,CR,41
BD,BD,236,CR,4J
BD,BD,287,CR,51
BD,BD,349,CR,61
BD,BD,137,HH,4A
BD,BD,59,HR,31
BD,BD,89,HR,3A
BD,BD,135,HR,41
BD,BD,236,HR,4J
BD,BD,287,HR,51
BD,BD,349,HR,61
BD,BD,461,HR,72
BD,BD,536,HR,7R
BD,BD,584,HR,81
BD,BD,89,HW,3A
BD,BD,135,HW,41
BD,BD,236,HW,4J
BD,BD,137,IQ,4A
BD,BD,59,IR,31
BD,BD,89,IR,3A
BD,BD,135,IR,41
BD,BD,236,IR,4J
BD,BD,287,IR,51
BD,BD,349,IR,61
BD,BD,461,IR,72
BD,BD,536,IR,7R
BD,BD,584,IR,81
BD,BD,59,KR,31
BD,BD,89,KR,3A
BD,BD,135,KR,41
BD,BD,236,KR,4J
BD,BD,287,KR,51
BD,BD,349,KR,61
BD,BD,461,KR,72
BD,BD,536,KR,7R
BD,BD,584,KR,81
BD,BD,59,MR,31
BD,BD,89,MR,3A
BD,BD,135,MR,41
BD,BD,236,MR,4J
BD,BD,287,MR,51
BD,BD,349,MR,61
BD,BD,59,PR,31
BD,BD,89,PR,3A
BD,BD,135,PR,41
BD,BD,236,PR,4J
BD,BD,287,PR,51
BD,BD,349,PR,61
BD,BD,461,PR,72
BD,BD,536,PR,7R
BD,BD,584,PR,81
BD,BD,59,SQ,35
BD,BD,89,SQ,3A
BD,BD,236,SQ,4I
BD,BD,287,SQ,51
