iso3,stroke_dalys_per100k_agestd_2004
SWZ,994
FRA,242
CHL,396
SWE,281
JOR,1051
AUS,228
FJI,1536
BGD,864
MMR,953
QAT,254
MUS,1065
CRI,247
NLD,291
JPN,425
HUN,702
TUN,411
DOM,1091
CHE,184
TGO,1201
ITA,287
MDV,1346
USA,327
THA,740
OMN,338
VNM,728
DEU,289
CZE,557
BLZ,633
BEL,350
IRL,280
GBR,348
MAR,502
NOR,283
PAK,832
SGP,283
ISR,211
GRC,522
MYS,603
TTO,873
GUY,1403
MLT,356
ZAF,1284
SVN,493
DNK,358
BRA,836
GRD,1183
LCA,666
EST,719
CAN,211
IRN,764
FIN,394
POL,616
BRN,488
CYP,247
LTU,645
TUR,1232
AUT,242
CHN,1072
IND,837
KOR,625
COK,955
LBN,642
