iso3,accessibility_raw
THA,Capital and main cities only
OMN,Capital city only
SWZ,Not applicable
USA,"Capital, main cities and rural areas"
MDV,Not applicable
VNM,"Capital, main cities and rural areas"
DEU,"Capital, main cities and rural areas"
CHL,Capital and main cities only
CZE,Not applicable
BLZ,Not applicable
DOM,Not applicable
BGD,Capital and main cities only
BEL,"Capital, main cities and rural areas"
HUN,"Capital, main cities and rural areas"
IRL,"Capital, main cities and rural areas"
GBR,Not available
MAR,Capital and main cities only
NOR,"Capital, main cities and rural areas"
PAK,Not applicable
SGP,"Capital, main cities and rural areas"
ISR,"Capital, main cities and rural areas"
GRC,Capital and main cities only
QAT,Capital and main cities only
MYS,"Capital, main cities and rural areas"
FRA,"Capital, main cities and rural areas"
TTO,"Capital, main cities and rural areas"
GUY,Capital and main cities only
MLT,"Capital, main cities and rural areas"
ZAF,Capital and main cities only
SVN,Capital and main cities only
DNK,"Capital, main cities and rural areas"
BRA,Capital and main cities only
GRD,Not applicable
NLD,"Capital, main cities and rural areas"
TUN,Not applicable
LCA,Not available
EST,"Capital, main cities and rural areas"
SWE,"Capital, main cities and rural areas"
CAN,Not available
JOR,Capital and main cities only
IRN,"Capital, main cities and rural areas"
FIN,"Capital, main cities and rural areas"
POL,"Capital, main cities and rural areas"
JPN,"Capital, main cities and rural areas"
BRN,Capital and main cities only
FJI,"Capital, main cities and rural areas"
CYP,Not applicable
LTU,"Capital, main cities and rural areas"
TGO,Capital city only
TUR,"Capital, main cities and rural areas"
MUS,"Capital, main cities and rural areas"
AUT,Capital and main cities only
CHN,Capital and main cities only
CHE,"Capital, main cities and rural areas"
ITA,"Capital, main cities and rural areas"
IND,Not applicable
AUS,"Capital, main cities and rural areas"
MMR,Not applicable
KOR,"Capital, main cities and rural areas"
COK,"Capital, main cities and rural areas"
LBN,"Capital, main cities and rural areas"
